date,premise_code,item_code,price
2023-11-01,3,2,10.3
2023-11-01,361,2,10.8
2023-11-01,365,2,12.3
2023-11-01,589,2,11.0
2023-11-01,633,2,13.0
2023-11-01,729,2,8.99
2023-11-01,754,2,10.79
2023-11-01,758,2,10.8
2023-11-01,834,2,12.0
2023-11-01,857,2,12.0
2023-11-01,873,2,12.0
2023-11-01,1117,2,10.4
2023-11-01,1718,2,10.4
2023-11-01,2028,2,10.39
2023-11-01,2161,2,10.4
2023-11-01,2190,2,10.4
2023-11-01,2230,2,12.0
2023-11-01,2280,2,9.45
2023-11-01,2450,2,11.99
2023-11-01,2507,2,12.3
2023-11-01,2517,2,12.0
2023-11-01,2554,2,11.99
2023-11-01,2573,2,10.4
2023-11-01,2617,2,12.0
2023-11-01,2879,2,10.8
2023-11-01,3003,2,10.4
2023-11-01,3056,2,10.8
2023-11-01,3078,2,9.39
2023-11-01,3130,2,10.3
2023-11-01,3214,2,10.8
2023-11-01,3727,2,9.99
2023-11-01,3838,2,10.5
2023-11-01,3845,2,11.99
2023-11-01,4302,2,11.99
2023-11-01,4313,2,12.0
2023-11-01,5218,2,10.69
2023-11-01,5234,2,10.8
2023-11-01,5377,2,7.99
2023-11-01,5379,2,10.8
2023-11-01,5678,2,10.8
2023-11-01,5823,2,9.99
2023-11-01,5980,2,10.4
2023-11-01,6143,2,10.3
2023-11-01,6177,2,10.79
2023-11-01,6206,2,12.0
2023-11-01,9787,2,10.4
2023-11-01,9933,2,12.0
2023-11-01,10720,2,11.89
2023-11-01,10750,2,12.3
2023-11-01,11332,2,10.8
2023-11-01,11523,2,10.8
2023-11-01,11524,2,10.29
2023-11-01,11536,2,10.8
2023-11-01,11537,2,10.8
2023-11-01,11538,2,12.3
2023-11-01,11564,2,10.4
2023-11-01,11568,2,10.8
2023-11-01,11587,2,12.3
2023-11-01,11622,2,10.3
2023-11-01,11630,2,10.4
2023-11-01,11632,2,12.0
2023-11-01,11652,2,10.3
2023-11-01,11699,2,10.39
2023-11-01,11711,2,14.49
2023-11-01,11750,2,10.4
2023-11-01,12743,2,10.4
2023-11-01,13715,2,8.79
2023-11-01,13790,2,10.4
2023-11-01,14384,2,10.8
2023-11-01,14807,2,10.4
2023-11-01,14811,2,10.3
2023-11-01,14863,2,11.89
2023-11-01,15531,2,12.5
2023-11-01,15556,2,10.79
2023-11-01,15820,2,12.29
2023-11-01,15903,2,7.99
2023-11-01,16087,2,10.3
2023-11-01,16195,2,11.99
2023-11-01,16353,2,8.09
2023-11-01,16383,2,12.29
2023-11-01,16394,2,11.99
2023-11-01,16472,2,10.5
2023-11-01,16482,2,9.49
2023-11-01,16519,2,10.8
2023-11-01,16522,2,10.8
2023-11-01,16547,2,7.99
2023-11-01,16554,2,12.29
2023-11-01,16927,2,11.5
2023-11-01,17098,2,11.99
2023-11-01,17128,2,8.79
2023-11-01,17152,2,11.89
2023-11-01,17167,2,10.4
2023-11-01,17292,2,11.89
2023-11-01,17313,2,11.5
2023-11-01,17329,2,11.99
2023-11-01,17370,2,10.0
2023-11-01,17488,2,11.79
2023-11-01,17560,2,10.8
2023-11-01,17649,2,10.29
2023-11-01,17712,2,10.2
2023-11-01,17727,2,11.5
2023-11-01,17728,2,11.5
2023-11-01,17789,2,11.49
2023-11-01,17828,2,10.5
2023-11-01,17831,2,11.89
2023-11-01,17835,2,10.1
2023-11-01,17839,2,10.79
2023-11-01,17851,2,12.3
2023-11-01,17854,2,12.3
2023-11-01,17866,2,10.5
2023-11-01,17876,2,10.8
2023-11-01,17877,2,10.5
2023-11-01,17881,2,10.8
2023-11-01,17975,2,11.9
2023-11-01,17987,2,10.8
2023-11-01,18105,2,11.99
2023-11-01,18129,2,10.8
2023-11-01,18135,2,9.99
2023-11-01,18165,2,11.99
2023-11-01,18170,2,12.0
2023-11-01,18197,2,10.5
2023-11-01,18209,2,11.5
2023-11-01,18337,2,7.99
2023-11-01,18340,2,12.3
2023-11-01,18344,2,10.8
2023-11-01,18345,2,10.5
2023-11-01,18346,2,10.8
2023-11-01,18351,2,11.59
2023-11-01,18413,2,12.0
2023-11-01,18457,2,11.9
2023-11-01,18460,2,10.8
2023-11-01,18462,2,14.5
2023-11-01,18464,2,11.99
2023-11-01,18466,2,12.3
2023-11-01,18481,2,11.99
2023-11-01,18501,2,10.8
2023-11-01,18502,2,9.99
2023-11-01,18503,2,10.8
2023-11-01,18576,2,8.9
2023-11-01,18605,2,10.4
2023-11-01,18705,2,12.29
2023-11-01,19117,2,11.99
2023-11-01,20690,2,10.4
2023-11-01,20695,2,12.3
2023-11-01,20715,2,12.1
2023-11-01,20731,2,7.99
2023-11-01,20732,2,10.5
2023-11-01,20759,2,9.99
2023-11-01,20810,2,10.0
2023-11-01,20833,2,10.4
2023-11-01,20854,2,10.39
2023-11-01,20856,2,10.3
2023-11-01,20864,2,9.99
2023-11-01,20865,2,10.8
2023-11-01,20866,2,10.79
2023-11-01,20867,2,10.6
2023-11-02,3,2,10.3
2023-11-02,361,2,10.8
2023-11-02,365,2,13.5
2023-11-02,494,2,10.39
2023-11-02,589,2,11.0
2023-11-02,633,2,13.0
2023-11-02,729,2,8.99
2023-11-02,754,2,10.79
2023-11-02,758,2,10.8
2023-11-02,834,2,12.0
2023-11-02,873,2,12.0
2023-11-02,1117,2,10.4
2023-11-02,1134,2,9.7
2023-11-02,1718,2,10.4
2023-11-02,1844,2,10.8
2023-11-02,2028,2,10.39
2023-11-02,2161,2,10.4
